account_id,channel,source,platform,campaign_name,group_name,keyword,creative,imagePath,device,date,impressions,clicks,cost,conversions,rank
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적비교,,,PC,2026-05-18,21,0,0,0,6.9
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적비교,,,PC,2026-05-19,8,0,0,0,9.3
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카견적비교,,,PC,2026-05-20,3,0,0,0,3.7
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카단점,,,PC,2026-05-18,4,0,0,0,3.3
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카단점,,,PC,2026-05-20,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카비교,,,PC,2026-05-20,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카업체,,,PC,2026-05-20,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카인수,,,PC,2026-05-18,1,0,0,0,4
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카추천,,,PC,2026-05-16,2,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카추천,,,PC,2026-05-19,2,0,0,0,4.5
2452983,search ad,naver,파워링크,PC,01.신차,신차장기렌트카추천,,,PC,2026-05-20,1,0,0,0,1
2452983,search ad,naver,파워링크,PC,01.신차,신차프로모션,,,PC,2026-05-14,1,0,0,0,4
2452983,search ad,naver,파워링크,PC,01.신차,신차프로모션,,,PC,2026-05-16,3,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,신차프로모션,,,PC,2026-05-18,38,0,0,0,2.9
2452983,search ad,naver,파워링크,PC,01.신차,신차프로모션,,,PC,2026-05-19,4,0,0,0,2.3
2452983,search ad,naver,파워링크,PC,01.신차,신차프로모션,,,PC,2026-05-20,4,0,0,0,2.3
2452983,search ad,naver,파워링크,PC,01.신차,장기렌트신차,,,PC,2026-05-18,2,0,0,0,4
2452983,search ad,naver,파워링크,PC,01.신차,장기렌트신차,,,PC,2026-05-20,2,0,0,0,2
2452983,search ad,naver,파워링크,PC,01.신차,장기신차렌트카,,,PC,2026-05-15,1,0,0,0,7
2452983,search ad,naver,파워링크,PC,01.신차,장기신차렌트카,,,PC,2026-05-20,4,0,0,0,4.8
2452983,search ad,naver,파워링크,PC,02.차종,-,,,PC,2026-05-16,76,0,0,0,16.4
2452983,search ad,naver,파워링크,PC,02.차종,-,,,PC,2026-05-18,200,0,0,0,17.5
2452983,search ad,naver,파워링크,PC,02.차종,-,,,PC,2026-05-19,187,0,0,0,8.6
2452983,search ad,naver,파워링크,PC,02.차종,-,,,PC,2026-05-20,182,0,0,0,6.2
2452983,search ad,naver,파워링크,PC,02.차종,G70,,,PC,2026-05-14,184,0,0,0,1.8
2452983,search ad,naver,파워링크,PC,02.차종,G70,,,PC,2026-05-15,417,0,0,0,2.1
2452983,search ad,naver,파워링크,PC,02.차종,G70,,,PC,2026-05-16,443,0,0,0,1
2452983,search ad,naver,파워링크,PC,02.차종,G70,,,PC,2026-05-18,509,0,0,0,2.3
2452983,search ad,naver,파워링크,PC,02.차종,G70,,,PC,2026-05-19,549,0,0,0,2.4
2452983,search ad,naver,파워링크,PC,02.차종,G70,,,PC,2026-05-20,575,0,0,0,2.1
2452983,search ad,naver,파워링크,PC,02.차종,G70슈팅브레이크,,,PC,2026-05-14,12,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,G70슈팅브레이크,,,PC,2026-05-15,27,0,0,0,3.7
2452983,search ad,naver,파워링크,PC,02.차종,G70슈팅브레이크,,,PC,2026-05-16,19,0,0,0,2.9
2452983,search ad,naver,파워링크,PC,02.차종,G70슈팅브레이크,,,PC,2026-05-18,43,0,0,0,3.6
2452983,search ad,naver,파워링크,PC,02.차종,G70슈팅브레이크,,,PC,2026-05-19,41,0,0,0,4.5
2452983,search ad,naver,파워링크,PC,02.차종,G70슈팅브레이크,,,PC,2026-05-20,88,0,0,0,3.4
2452983,search ad,naver,파워링크,PC,02.차종,G80,,,PC,2026-05-14,458,0,0,0,1.8
2452983,search ad,naver,파워링크,PC,02.차종,G80,,,PC,2026-05-15,994,0,0,0,2.2
2452983,search ad,naver,파워링크,PC,02.차종,G80,,,PC,2026-05-16,666,0,0,0,1
2452983,search ad,naver,파워링크,PC,02.차종,G80,,,PC,2026-05-18,1575,0,0,0,2.2
2452983,search ad,naver,파워링크,PC,02.차종,G80,,,PC,2026-05-19,1296,0,0,0,2.5
2452983,search ad,naver,파워링크,PC,02.차종,G80,,,PC,2026-05-20,1412,1,2466,0,3.1
2452983,search ad,naver,파워링크,PC,02.차종,G80BLACK,,,PC,2026-05-14,3,0,0,0,2.7
2452983,search ad,naver,파워링크,PC,02.차종,G80BLACK,,,PC,2026-05-15,22,0,0,0,2.9
2452983,search ad,naver,파워링크,PC,02.차종,G80BLACK,,,PC,2026-05-16,5,0,0,0,2.2
2452983,search ad,naver,파워링크,PC,02.차종,G80BLACK,,,PC,2026-05-18,26,0,0,0,3.3
2452983,search ad,naver,파워링크,PC,02.차종,G80BLACK,,,PC,2026-05-19,22,0,0,0,3.6
2452983,search ad,naver,파워링크,PC,02.차종,G80BLACK,,,PC,2026-05-20,21,0,0,0,3.1
2452983,search ad,naver,파워링크,PC,02.차종,G90,,,PC,2026-05-14,123,0,0,0,2
2452983,search ad,naver,파워링크,PC,02.차종,G90,,,PC,2026-05-15,341,0,0,0,2.3
2452983,search ad,naver,파워링크,PC,02.차종,G90,,,PC,2026-05-16,243,0,0,0,1.1
2452983,search ad,naver,파워링크,PC,02.차종,G90,,,PC,2026-05-18,506,0,0,0,2.3
2452983,search ad,naver,파워링크,PC,02.차종,G90,,,PC,2026-05-19,531,0,0,0,2.5
2452983,search ad,naver,파워링크,PC,02.차종,G90,,,PC,2026-05-20,522,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,G90BLACK,,,PC,2026-05-14,1,0,0,0,2
2452983,search ad,naver,파워링크,PC,02.차종,G90BLACK,,,PC,2026-05-15,2,0,0,0,3
2452983,search ad,naver,파워링크,PC,02.차종,G90BLACK,,,PC,2026-05-16,8,0,0,0,1.6
2452983,search ad,naver,파워링크,PC,02.차종,G90BLACK,,,PC,2026-05-18,7,0,0,0,2.7
2452983,search ad,naver,파워링크,PC,02.차종,G90BLACK,,,PC,2026-05-19,10,0,0,0,2.7
2452983,search ad,naver,파워링크,PC,02.차종,G90BLACK,,,PC,2026-05-20,9,0,0,0,1.3
2452983,search ad,naver,파워링크,PC,02.차종,GV70,,,PC,2026-05-14,495,0,0,0,2
2452983,search ad,naver,파워링크,PC,02.차종,GV70,,,PC,2026-05-15,1358,0,0,0,2
2452983,search ad,naver,파워링크,PC,02.차종,GV70,,,PC,2026-05-16,794,0,0,0,1
2452983,search ad,naver,파워링크,PC,02.차종,GV70,,,PC,2026-05-18,1897,0,0,0,2.2
2452983,search ad,naver,파워링크,PC,02.차종,GV70,,,PC,2026-05-19,1955,0,0,0,2.4
2452983,search ad,naver,파워링크,PC,02.차종,GV70,,,PC,2026-05-20,1897,1,3555,0,2.9
2452983,search ad,naver,파워링크,PC,02.차종,GV80,,,PC,2026-05-14,514,1,2242,0,2
2452983,search ad,naver,파워링크,PC,02.차종,GV80,,,PC,2026-05-15,1046,1,2360,2,2.3
2452983,search ad,naver,파워링크,PC,02.차종,GV80,,,PC,2026-05-16,692,0,0,0,1
2452983,search ad,naver,파워링크,PC,02.차종,GV80,,,PC,2026-05-18,1841,1,2395,0,2.3
2452983,search ad,naver,파워링크,PC,02.차종,GV80,,,PC,2026-05-19,1655,0,0,0,2.6
2452983,search ad,naver,파워링크,PC,02.차종,GV80,,,PC,2026-05-20,1504,0,0,0,3.3
2452983,search ad,naver,파워링크,PC,02.차종,GV80BLACK,,,PC,2026-05-14,14,0,0,0,4.5
2452983,search ad,naver,파워링크,PC,02.차종,GV80BLACK,,,PC,2026-05-15,13,0,0,0,4.5
2452983,search ad,naver,파워링크,PC,02.차종,GV80BLACK,,,PC,2026-05-16,6,0,0,0,2.3
2452983,search ad,naver,파워링크,PC,02.차종,GV80BLACK,,,PC,2026-05-18,19,0,0,0,3.9
2452983,search ad,naver,파워링크,PC,02.차종,GV80BLACK,,,PC,2026-05-19,14,0,0,0,4.4
2452983,search ad,naver,파워링크,PC,02.차종,GV80BLACK,,,PC,2026-05-20,30,0,0,0,4.7
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPE,,,PC,2026-05-14,30,0,0,0,4.3
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPE,,,PC,2026-05-15,69,0,0,0,5.7
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPE,,,PC,2026-05-16,40,0,0,0,3.1
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPE,,,PC,2026-05-18,164,0,0,0,3.7
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPE,,,PC,2026-05-19,136,0,0,0,5.4
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPE,,,PC,2026-05-20,120,0,0,0,5.8
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPEBLACK,,,PC,2026-05-16,1,0,0,0,3
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPEBLACK,,,PC,2026-05-18,2,0,0,0,4.5
2452983,search ad,naver,파워링크,PC,02.차종,GV80COUPEBLACK,,,PC,2026-05-19,2,0,0,0,6.5
